"sensor_index","last_seen","name","latitude","longitude","humidity","temperature","pressure","pm1.0","pm2.5","pm2.5_10minute"
"35225","1717386660","Mt. Washington","39.08473","-84.386696","70","74","990.17","13","18.8","20"
"83761","1717386641","Burlington KY","39.005966","-84.69311","67","75","987.8","7.6","10.5","10.6"
"102568","1717386631","SR32","39.121155","-84.33703","77","71","994.86","10","13.1","12.4"
"102632","1717386596","SR32.2","39.123226","-84.35089","100","71","996.53","11.7","14.9","14.9"
"127885","1717386584","Meals on Wheels","39.121647","-84.54827","61","75","990.35","6","12.6","15.6"
"127915","1717386638","MSD 6","39.111176","-84.54885",NA,NA,NA,"2.9","7.2","8.1"
"127921","1717386644","Groundwork","39.102787","-84.55148",NA,NA,NA,"2.9","6.1","6.1"
"128301","1717386583","McAndrews","39.106327","-84.55321","66","74","996.88","5.7","10.8","11"
"130719","1717386636","NKU KY DAQ","39.021954","-84.47444","74","72","985.97","9.2","20.6","19.2"
"156117","1717386365","Tshs 1","39.16642","-84.401215","68","74",NA,"12.8","21.3","22.2"
"157927","1717386585","Brynn","39.165894","-84.53626","70","75","996.25","8.2","12.1","12.4"
"160405","1717386612","Devou Park","39.08122","-84.52894","70","73","987.76","11.8","18.7","16.6"
"168209","1717386659","Park Hills","39.068443","-84.53976","58","79","987.62","21.1","27.8","21.8"
"172829","1717386667","The Bluffs near Devou Park","39.085186","-84.527145","62","79","987.09","14.7","18.1","19.5"
"175231","1717386621","Longworth Square","39.105816","-84.52173","57","81","995.04","15.5","19.9","18.9"
"175239","1717386664","Over-the-Rhine Walnut Street Roof","39.113655","-84.51428","59","81","993.49","15.3","18.4","18.4"
"175247","1717386599","home","39.09708","-84.48963","61","79","995.01","15.8","19.2","19"
"175257","1717386683","Lillard","39.14496","-84.52874","57","79","992.05","9.3","11.2","11.2"
"175263","1717386666","Lee Street","39.075745","-84.51495","62","78","995.87","16.1","20.3","17.4"
"175389","1717386615","Columbia Tusculum","39.119144","-84.44059","51","84","996.93","9","10.7","10.7"
"175413","1717386673","JN-Clifton,OH","39.142544","-84.52682","58","81","989.11","11.8","14.3","12.3"
"176487","1717386628","John P Parker","39.162796","-84.40072","75","72","995.28","13.5","21.6","22.4"
"176557","1717386630","CFD Station 12","39.13587","-84.54109","68","75","997.75","14.8","24.2","24.8"
"177011","1717386678","Trinity Episcopal Church","39.08723","-84.510574","43","93","996.39","11.5","15.1","13.2"
"183761","1717386665","AV-15-558F","39.07623","-84.50047","64","74","996.8","15.3","24.2","24"
"183773","1717386667","AV-14-987","39.044727","-84.513336","63","74","996.11","11.1","16.6","17.6"
"183777","1717386596","AV-13-7DE7","39.047142","-84.494965","67","74","996.47","15.6","21.6","20.5"
"184237","1717386658","Monitor 7 West","39.086807","-84.49592","62","80","996.79","19.6","27.3","27.8"
"184259","1717386603","Monitor 6 West","39.082287","-84.498024","65","78","996.9","16.6","21.7","23.6"
"184605","1717386625","Monitor 11 Island","39.099586","-84.49018","61","80","997.29","16.8","20.3","19.8"
"184659","1717386634","Wasson Way &amp; Kendall Ave","39.14496","-84.450195","46","86","991.55","13.6","16.1","15.6"
"184671","1717386604","Monitor 12 East","39.092567","-84.48834","0","76","628.8","18.8","23.3","22.7"
"184699","1717386655","Monitor 10 West","39.084312","-84.497215","68","78","996.66","16.2","21.7","24.7"
"184707","1717386640","City-CHD","39.135433","-84.50162","59","80","984.21","12.6","16.8","15.4"
"184711","1717386605","Monitor 9 West","39.087906","-84.4918","62","80","996.45","19.4","25.2","25.2"
"184723","1717386583","Monitor 1 East","39.094616","-84.48508","61","80","995.45","16.5","20.2","20"
"184721","1717386673","Monitor 4 East","39.090923","-84.49152","64","79","996.23","19.2","24.3","23.9"
"184725","1717386584","Monitor 8 West","39.082706","-84.49669","61","80","996.69","17.4","21.3","23.6"
"184729","1717386584","CITY_GCWW_SG","39.165497","-84.51586","59","80","996.18","9.1","10.8","10.7"
"184799","1717386570","338 E 9th St Newport KY 41071","39.0902","-84.48639","65","79","996.01","18.2","25.3","26"
"184837","1717386667","Montgomery","39.22776","-84.34873","50","81","986.94","13.2","16.6","16.2"
"186579","1717243193","Shanmoor Ave, south-facing","39.150696","-84.45134","42","71","998.02","0","0","0.2"
"188039","1717386595","McFarland","39.098476","-84.51862","60","79","995.61","10.7","13.7","14.6"
"205841","1717386607","Fourth Garrard","39.08828","-84.50608","55","81","996.39","12.9","16.6","16"
"206143","1717386606","Beech Grove Ln","39.130665","-84.63976","54","79","987.65","7.2","9.4","8.4"
"218157","1717386681","Norwood-D","39.15582","-84.46107","64","76","992.26","17.8","27.2","26.4"
"218179","1717386622","TheSCDSchool-01","39.12847","-84.4599","41","79","991.99","8.5","11.8","12"
