"sensor_index","last_seen","name","latitude","longitude","humidity","temperature","pressure","pm1.0","pm2.5","pm2.5_10minute"
"86529","1716185026","Ashley Turner","39.07465","-84.45762","52","77","985.28","14","19.8","20.4"
"160405","1716184998","Devou Park","39.08122","-84.52894","58","75","987.32","18","26.6","26.5"
"172829","1716185093","The Bluffs near Devou Park","39.085186","-84.527145","50","82","986.79","19.8","23.4","23.5"
"175231","1716185014","Longworth Square","39.105816","-84.52173","50","82","994.8","18.3","22.5","23.1"
"175247","1716185098","home","39.09708","-84.48963","52","80","994.81","18.7","21.7","21"
"175263","1716185055","Lee Street","39.075745","-84.51495","55","79","995.66","23.6","28.6","26.6"
"177011","1716185067","Trinity Episcopal Church","39.08723","-84.510574","54","79","996.41","14.4","18.2","19"
"183761","1716185004","AV-15-558F","39.07623","-84.50047","58","73","996.51","18.4","25.6","27.4"
"184237","1716185094","Monitor 7 West","39.086807","-84.49592","52","81","996.53","19.5","23.7","23.6"
"184259","1716184986","Monitor 6 West","39.082287","-84.498024","58","77","996.77","17.9","22.4","22.7"
"184603","1706643402","Monitor 2 East","39.097775","-84.49208","62","47","995.73","9.7","14.9","16.6"
"184605","1716185073","Monitor 11 Island","39.099586","-84.49018","54","81","997.06","19.5","23.5","21.1"
"184671","1716185046","Monitor 12 East","39.092567","-84.48834","0","76","629.64","19.5","23.5","23"
"184699","1716185055","Monitor 10 West","39.084312","-84.497215","62","75","996.55","16.8","20.3","21.2"
"184697","1701405392","Monitor 5 West","39.085217","-84.49412","36","61","997.89","6","7.5","7.8"
"184711","1716185062","Monitor 9 West","39.087906","-84.4918","52","82","996.14","18.9","22.5","22.7"
"184723","1716185017","Monitor 1 East","39.094616","-84.48508","49","82","995.29","17.5","20.9","20.8"
"184721","1716185003","Monitor 4 East","39.090923","-84.49152","54","79","996.03","19.2","22.2","22.6"
"184725","1716185085","Monitor 8 West","39.082706","-84.49669","54","79","996.48","17.6","20.5","20.8"
"184799","1716184990","338 E 9th St Newport KY 41071","39.0902","-84.48639","53","80","995.85","20.3","26.4","26.6"
"188039","1716185094","McFarland","39.098476","-84.51862","48","81","995.3","15.6","19.6","20.4"
"205841","1716185064","Fourth Garrard","39.08828","-84.50608","48","81","996.25","12.5","15.3","16.8"
"86529","1716185147","Ashley Turner","39.07465","-84.45762","52","77","985.22","14.6","19.8","20.3"
"160405","1716185118","Devou Park","39.08122","-84.52894","58","75","987.3","17.8","26.2","26.5"
"172829","1716185093","The Bluffs near Devou Park","39.085186","-84.527145","50","82","986.79","19.8","23.4","23.5"
"175231","1716185134","Longworth Square","39.105816","-84.52173","49","82","994.75","18.6","22.4","23"
"175247","1716185098","home","39.09708","-84.48963","52","80","994.81","18.7","21.7","21"
"175263","1716185175","Lee Street","39.075745","-84.51495","55","79","995.61","22","27.6","26.8"
"177011","1716185187","Trinity Episcopal Church","39.08723","-84.510574","54","79","996.39","14.4","19","19"
"183761","1716185125","AV-15-558F","39.07623","-84.50047","58","73","996.44","19.4","26.2","27.2"
"184237","1716185094","Monitor 7 West","39.086807","-84.49592","52","81","996.53","19.5","23.7","23.6"
"184259","1716185106","Monitor 6 West","39.082287","-84.498024","59","77","996.71","17.9","22.5","22.6"
"184603","1706643402","Monitor 2 East","39.097775","-84.49208","62","47","995.73","9.7","14.9","16.6"
"184605","1716185193","Monitor 11 Island","39.099586","-84.49018","53","81","997.01","19.8","23.5","21.4"
"184671","1716185166","Monitor 12 East","39.092567","-84.48834","0","76","629.81","19.2","23.4","23"
"184699","1716185175","Monitor 10 West","39.084312","-84.497215","63","75","996.47","16.5","20.6","21.2"
"184697","1701405392","Monitor 5 West","39.085217","-84.49412","36","61","997.89","6","7.5","7.8"
"184711","1716185182","Monitor 9 West","39.087906","-84.4918","52","82","996.09","18","21.6","22.5"
"184723","1716185138","Monitor 1 East","39.094616","-84.48508","49","82","995.22","18","21.3","20.8"
"184721","1716185124","Monitor 4 East","39.090923","-84.49152","54","79","995.98","18.7","22.2","22.6"
"184725","1716185205","Monitor 8 West","39.082706","-84.49669","54","80","996.45","16.9","19.5","20.6"
"184799","1716185110","338 E 9th St Newport KY 41071","39.0902","-84.48639","53","80","995.77","19.2","25","26.4"
"188039","1716185094","McFarland","39.098476","-84.51862","48","81","995.3","15.6","19.6","20.4"
"205841","1716185184","Fourth Garrard","39.08828","-84.50608","49","80","996.22","12.3","15.4","16.6"
"86529","1716185147","Ashley Turner","39.07465","-84.45762","52","77","985.22","14.6","19.8","20.3"
"160405","1716185118","Devou Park","39.08122","-84.52894","58","75","987.3","17.8","26.2","26.5"
"172829","1716185213","The Bluffs near Devou Park","39.085186","-84.527145","50","82","986.77","19.1","23.2","23.4"
"175231","1716185134","Longworth Square","39.105816","-84.52173","49","82","994.75","18.6","22.4","23"
"175247","1716185218","home","39.09708","-84.48963","51","80","994.75","18.6","22","21.2"
"175263","1716185175","Lee Street","39.075745","-84.51495","55","79","995.61","22","27.6","26.8"
"177011","1716185187","Trinity Episcopal Church","39.08723","-84.510574","54","79","996.39","14.4","19","19"
"183761","1716185125","AV-15-558F","39.07623","-84.50047","58","73","996.44","19.4","26.2","27.2"
"184237","1716185214","Monitor 7 West","39.086807","-84.49592","52","81","996.5","19.1","23.9","23.6"
"184259","1716185227","Monitor 6 West","39.082287","-84.498024","59","76","996.66","17.6","22","22.6"
"184603","1706643402","Monitor 2 East","39.097775","-84.49208","62","47","995.73","9.7","14.9","16.6"
"184605","1716185193","Monitor 11 Island","39.099586","-84.49018","53","81","997.01","19.8","23.5","21.4"
"184671","1716185166","Monitor 12 East","39.092567","-84.48834","0","76","629.81","19.2","23.4","23"
"184699","1716185175","Monitor 10 West","39.084312","-84.497215","63","75","996.47","16.5","20.6","21.2"
"184697","1701405392","Monitor 5 West","39.085217","-84.49412","36","61","997.89","6","7.5","7.8"
"184711","1716185182","Monitor 9 West","39.087906","-84.4918","52","82","996.09","18","21.6","22.5"
"184723","1716185138","Monitor 1 East","39.094616","-84.48508","49","82","995.22","18","21.3","20.8"
"184721","1716185124","Monitor 4 East","39.090923","-84.49152","54","79","995.98","18.7","22.2","22.6"
"184725","1716185205","Monitor 8 West","39.082706","-84.49669","54","80","996.45","16.9","19.5","20.6"
"184799","1716185110","338 E 9th St Newport KY 41071","39.0902","-84.48639","53","80","995.77","19.2","25","26.4"
"188039","1716185214","McFarland","39.098476","-84.51862","48","81","995.25","15","19.4","20.2"
"205841","1716185184","Fourth Garrard","39.08828","-84.50608","49","80","996.22","12.3","15.4","16.6"
"86529","1716185147","Ashley Turner","39.07465","-84.45762","52","77","985.22","14.6","19.8","20.3"
"160405","1716184998","Devou Park","39.08122","-84.52894","58","75","987.32","18","26.6","26.5"
"172829","1716185213","The Bluffs near Devou Park","39.085186","-84.527145","50","82","986.77","19.1","23.2","23.4"
"175231","1716185134","Longworth Square","39.105816","-84.52173","49","82","994.75","18.6","22.4","23"
"175247","1716185218","home","39.09708","-84.48963","51","80","994.75","18.6","22","21.2"
